iter	Passed	Remaining
0	14	22090
1	22	16968
2	49	24684
3	67	25119
4	93	27923
5	141	35326
6	190	40624
7	233	43588
8	248	41188
9	272	40628
10	303	41140
11	334	41439
12	361	41366
13	377	40084
14	401	39739
15	437	40532
16	454	39661
17	468	38597
18	483	37676
19	512	37951
20	540	38045
21	568	38187
22	576	37003
23	589	36242
24	609	35963
25	623	35348
26	652	35596
27	663	34863
28	694	35253
29	721	35348
30	764	36236
31	790	36271
32	798	35515
33	816	35221
34	829	34710
35	836	34018
36	856	33867
37	884	34018
38	897	33624
39	925	33779
40	952	33899
41	980	34035
42	1007	34148
43	1015	33616
44	1042	33693
45	1067	33747
46	1090	33722
47	1115	33733
48	1132	33547
49	1156	33536
50	1178	33496
51	1201	33469
52	1227	33521
53	1249	33451
54	1279	33612
55	1305	33657
56	1319	33401
57	1345	33442
58	1368	33419
59	1384	33230
