iter	Logloss
0	0.6675056207
1	0.6439632311
2	0.621922814
3	0.6015087981
4	0.5823875371
5	0.5648121163
6	0.5480771112
7	0.5315947795
8	0.5174805336
9	0.5042554807
10	0.492175457
11	0.4807996975
12	0.4701584286
13	0.4604980834
14	0.4514805016
15	0.4429429133
16	0.4351753958
17	0.4278162701
18	0.4210020686
19	0.4146924082
20	0.4088020998
21	0.4034284036
22	0.3983493977
23	0.3936170443
24	0.3891426101
25	0.3851136544
26	0.3813617774
27	0.3778119351
28	0.3745362954
29	0.3714519555
30	0.3686356826
31	0.36499762
32	0.362127426
