iter	CrossEntropy
0	0.6845703638
1	0.6762126646
2	0.6680372235
3	0.6600693992
4	0.652289521
5	0.6447557828
6	0.6373395302
7	0.6301375486
8	0.6230308971
9	0.6158504786
10	0.6091599805
11	0.6025393315
12	0.5956465222
13	0.5893475939
14	0.5832525693
15	0.5772938313
16	0.5714571535
17	0.5657811037
18	0.5602414977
19	0.5548349905
20	0.5495611002
21	0.5439358481
22	0.538955839
23	0.5335301888
24	0.5287551792
25	0.5240958465
26	0.519515107
27	0.51504575
28	0.5107159011
29	0.5065077601
30	0.5023835781
31	0.4983056569
32	0.4943844015
33	0.4905403954
34	0.4868017144
35	0.4831508451
36	0.4795456475
37	0.4760134717
38	0.4726250967
39	0.4693075965
40	0.4660916784
41	0.4629333631
42	0.4598535826
43	0.4568021506
44	0.4538687189
45	0.4510055525
46	0.4481871027
47	0.4454721192
48	0.4427435868
49	0.4397321167
50	0.437231529
51	0.4347549335
52	0.4323400731
53	0.4299656264
54	0.4276541444
55	0.4254159581
56	0.4232181665
57	0.4210777282
58	0.418973395
59	0.4166838071
60	0.4145887757
