iter	Passed	Remaining
0	605	908298
1	980	734188
2	1356	676769
3	1792	670269
4	2139	639620
5	2453	610884
6	2794	596043
7	3158	589065
8	3633	601971
9	4047	603091
10	4408	596816
11	4767	591219
12	5122	585928
13	5561	590322
14	6090	602943
15	6532	605871
16	6935	605041
17	7280	599404
18	7622	594116
19	8015	593160
20	8260	581785
21	8724	586132
22	9190	590187
23	9573	588792
24	9887	583353
25	10236	580354
26	10682	582808
27	11118	584531
28	11475	582078
29	11860	581151
30	12202	578263
31	12596	577863
32	13122	583355
33	13655	588790
34	14015	586663
35	14367	584279
36	14690	580885
37	15001	577176
38	15278	572357
39	15676	572206
40	16100	572934
41	16497	572703
42	16864	571416
43	17164	567990
44	17565	567939
45	17911	566147
46	18339	566978
47	18787	568315
48	19175	567831
49	19513	565887
50	19966	567294
51	20311	565595
52	20675	564490
53	21243	568845
54	21641	568576
55	22087	569553
56	22642	573201
57	23073	573652
58	23609	576634
59	24011	576264
60	24575	579748
61	25045	580895
62	25550	582789
63	25959	582471
64	26450	583940
65	26838	583119
66	27286	583596
67	27750	584387
68	28183	584498
69	28553	583302
70	29051	584721
71	29701	589077
72	30191	590190
73	30748	592538
74	31605	600508
75	32087	601225
76	32643	603264
77	33205	605355
78	33826	608441
79	34332	609401
80	34823	610056
81	35388	611957
82	35962	613966
83	36533	615850
84	37134	618180
85	37711	620040
86	38273	621613
87	38760	621937
88	39196	621412
89	40107	628346
90	40697	630143
91	41392	633492
92	42051	636194
93	42692	638569
94	43611	644987
95	44222	646748
96	44723	646876
97	45219	646917
98	45743	647336
99	46220	647085
100	46789	648110
101	47217	647158
102	47592	645496
103	48067	645207
104	48499	644344
105	48886	642900
106	49425	643451
107	49752	641259
108	50161	640136
109	50700	640671
110	51154	640117
111	51534	638664
112	51981	638035
113	52330	636223
114	52641	633983
115	53030	632703
116	53430	631579
117	53762	629653
118	54172	628672
119	54654	628521
120	55222	629357
121	55970	632190
122	56509	632625
123	56984	632340
124	57489	632380
125	58179	634429
126	58643	633995
127	59070	633165
128	59645	633907
129	60215	634579
130	60902	636454
131	61443	636775
132	62034	637604
133	62549	637630
134	63093	637949
135	63483	636700
136	63995	636688
137	64486	636454
138	65052	636952
139	65556	636832
140	66007	636201
141	66406	635069
142	66738	633318
143	67077	631644
144	67479	630581
145	67902	629723
146	68356	629157
147	68816	628649
148	69288	628246
149	69703	627330
150	70115	626400
151	70567	625819
152	71132	626248
153	71635	626114
154	71991	624703
155	72318	623051
156	72727	622122
157	73079	620716
158	73485	619777
159	73871	618672
160	74269	617686
161	74623	616333
162	74997	615166
163	75428	614463
164	75815	613418
165	76242	612696
166	76598	611411
167	76935	609992
168	77285	608679
169	77611	607195
170	78003	606235
171	78390	605249
172	78724	603854
173	79046	602390
174	79463	601653
175	79980	601673
176	80403	600981
177	80839	600391
178	81161	598961
179	81520	597816
180	81915	596938
181	82293	595951
182	82698	595160
183	82971	593427
184	83353	592485
185	83752	591671
186	84177	591040
187	84591	590344
188	84950	589262
189	85291	588063
190	85621	586795
191	85953	585556
192	86369	584892
193	86860	584740
194	87176	583414
195	87524	582307
196	87856	581103
197	88211	580058
198	88553	578936
199	88997	578485
200	89457	578132
201	89811	577108
202	90292	576893
203	90582	575465
204	91082	575376
205	91503	574786
206	91909	574098
207	92473	574402
208	93038	574703
209	93579	574848
210	93987	574170
211	94614	574827
212	95215	575317
213	95579	574372
214	96202	574976
215	96706	574867
216	97129	574270
217	97648	574245
218	97982	573128
219	98309	571980
220	98624	570772
221	99012	569993
222	99435	569411
223	99859	568843
224	100202	567816
225	100634	567296
226	101151	567251
227	101591	566772
228	102036	566325
229	102528	566137
230	102934	565472
231	103538	565889
232	103996	565506
233	104388	564767
234	104863	564477
235	105324	564109
236	105723	563412
237	106097	562586
238	106501	561918
239	106885	561146
240	107399	561059
241	107895	560879
242	108391	560690
243	108934	560746
244	109449	560651
245	109885	560145
246	110387	559984
247	110763	559175
248	111252	558945
249	111672	558363
250	112006	557355
251	112486	557077
252	112867	556306
253	113401	556290
254	113859	555903
255	114291	555384
256	114639	554460
257	114988	553548
258	115423	553050
259	115852	552525
260	116334	552256
261	116843	552109
262	117222	551346
263	117574	550461
264	118036	550095
265	118447	549491
266	118856	548876
267	119335	548588
268	119689	547723
269	120049	546892
270	120428	546149
271	120826	545497
272	121342	545374
273	121937	545602
274	122377	545136
275	122820	544682
276	123340	544568
277	123853	544421
278	124301	543985
279	124795	543753
280	125221	543219
281	125576	542382
282	126003	541859
283	126386	541148
284	126763	540412
285	127129	539631
286	127529	539000
287	127847	538026
288	128304	537634
289	128696	536975
290	129085	536304
291	129585	536092
292	130068	535809
293	130405	534930
294	130750	534084
295	131141	533425
296	131465	532500
297	131739	531379
298	132013	530261
299	132406	529627
300	132800	528997
301	133234	528525
302	133584	527725
303	134068	527454
304	134411	526630
305	134790	525946
306	135218	525458
307	135603	524802
308	135930	523925
309	136290	523178
310	136622	522328
311	136929	521386
312	137282	520622
313	137666	519975
314	138052	519342
315	138462	518794
316	138907	518383
317	139426	518246
318	139855	517773
319	140217	517052
320	140514	516093
321	140851	515290
322	141339	515035
323	141760	514537
324	142140	513891
325	142594	513515
326	143021	513041
327	143470	512643
328	143752	511654
329	144169	511147
330	144582	510626
331	144954	509962
332	145338	509339
333	145789	508953
334	146106	508101
335	146489	507482
336	146869	506853
337	147359	506603
338	147716	505897
339	148097	505274
340	148458	504585
341	148857	504027
342	149307	503640
343	149770	503298
344	150162	502718
345	150533	502067
346	150837	501199
347	151168	500421
348	151468	499541
349	151880	499035
350	152368	498778
351	152756	498193
352	153142	497603
353	153532	497029
354	153984	496653
355	154491	496455
356	154859	495812
357	155275	495321
358	155672	494770
359	155977	493927
360	156313	493188
361	156668	492511
362	157030	491856
363	157512	491577
364	157879	490939
365	158288	490435
366	158796	490236
367	159181	489656
368	159525	488951
369	159815	488083
370	160259	487691
371	160624	487056
372	161057	486626
373	161609	486555
